epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,36.6332,1.70763,0.61237,0.94357,1.15151,0.000194685,0.000194685,0.000194685
2,77.0131,1.11442,0.61825,0.93817,1.18126,0.000377792,0.000377792,0.000377792
3,116.122,1.11977,0.60942,0.94308,1.15528,0.000547963,0.000547963,0.000547963
4,153.35,1.0732,0.63052,0.94946,1.18487,0.000529788,0.000529788,0.000529788
5,189.878,0.97753,0.63641,0.95093,1.0983,0.000510384,0.000510384,0.000510384
6,228.407,0.90002,0.65211,0.94603,1.16786,0.00049098,0.00049098,0.00049098
7,269.112,0.8487,0.64328,0.94406,1.17459,0.000471576,0.000471576,0.000471576
8,308.174,0.79483,0.65996,0.95339,1.11538,0.000452172,0.000452172,0.000452172
9,347.556,0.7257,0.6629,0.95437,1.05188,0.000432768,0.000432768,0.000432768
10,386.601,0.69737,0.65702,0.95535,1.10039,0.000413364,0.000413364,0.000413364
11,423.013,0.64595,0.65358,0.9475,1.18065,0.00039396,0.00039396,0.00039396
12,459.216,0.60917,0.66241,0.94946,1.09376,0.000374556,0.000374556,0.000374556
13,496.058,0.56011,0.67125,0.95388,1.11397,0.000355152,0.000355152,0.000355152
14,532.323,0.50163,0.658,0.95437,1.19901,0.000335748,0.000335748,0.000335748
15,569.715,0.46623,0.65702,0.95633,1.2266,0.000316344,0.000316344,0.000316344
16,605.739,0.42091,0.65505,0.95682,1.22496,0.00029694,0.00029694,0.00029694
17,641.47,0.37606,0.65947,0.95927,1.20966,0.000277536,0.000277536,0.000277536
18,677.516,0.36238,0.67419,0.95829,1.20164,0.000258132,0.000258132,0.000258132
19,713.98,0.30594,0.66634,0.95682,1.28075,0.000238728,0.000238728,0.000238728
20,749.937,0.28106,0.67125,0.95191,1.34492,0.000219324,0.000219324,0.000219324
21,804.613,0.24489,0.67861,0.95044,1.36492,0.00019992,0.00019992,0.00019992
22,840.867,0.22105,0.67861,0.95093,1.34964,0.000180516,0.000180516,0.000180516
23,876.932,0.2038,0.66977,0.96075,1.39916,0.000161112,0.000161112,0.000161112
24,912.508,0.18601,0.66683,0.95633,1.44291,0.000141708,0.000141708,0.000141708
25,948.023,0.15124,0.67076,0.95535,1.42401,0.000122304,0.000122304,0.000122304
26,984.565,0.14214,0.6791,0.95927,1.41899,0.0001029,0.0001029,0.0001029
27,1020.7,0.11941,0.684,0.95927,1.42367,8.3496e-05,8.3496e-05,8.3496e-05
28,1057.07,0.10783,0.684,0.9578,1.45063,6.4092e-05,6.4092e-05,6.4092e-05
29,1092.55,0.09798,0.68253,0.95878,1.49119,4.4688e-05,4.4688e-05,4.4688e-05
30,1128.72,0.08739,0.68548,0.95682,1.48505,2.5284e-05,2.5284e-05,2.5284e-05
