run,file,label,seed,severity,surface,lighting,camera,background,own_sim,top1_class,top1_sim,margin,hard_fail_mode,hard_fail_sim,drift_mode,drift_sim,agree,hard_fail,drift,retained,ok
output,crater/crater_100000.png,crater,100000,severe,surf_radiator,light_led,cam_inspect,bg_structure,0.1273,perforation,0.2086,-0.0813,person,0.1864,whole_satellite,0.1905,0,1,1,0,1
output,crater/crater_100001.png,crater,100001,moderate,surf_sensor,light_led,cam_survey,bg_earth,0.2934,crater,0.2934,0.0481,moon_terrain,0.2344,plain_texture,0.1762,1,0,0,1,1
output,crater/crater_100002.png,crater,100002,minor,surf_whipple,light_direct,cam_survey,bg_structure,0.1858,perforation,0.2466,-0.0609,person,0.2038,device,0.2095,0,1,1,0,1
output,crater/crater_100003.png,crater,100003,severe,surf_radiator,light_grazing,cam_survey,bg_stars,0.2846,crater,0.2846,0.0243,moon_terrain,0.2355,plain_texture,0.1762,1,0,0,1,1
output,crater/crater_100004.png,crater,100004,minor,surf_sensor,light_glint,cam_inspect,bg_structure,0.1828,perforation,0.2394,-0.0566,person,0.2157,whole_satellite,0.1994,0,1,1,0,1
output,crater/crater_100005.png,crater,100005,moderate,surf_al_panel,light_direct,cam_macro,bg_earth,0.2450,perforation,0.2698,-0.0248,moon_terrain,0.2268,plain_texture,0.2023,0,0,0,0,1
output,crater/crater_100006.png,crater,100006,severe,surf_sensor,light_glint,cam_inspect,bg_stars,0.1454,perforation,0.2071,-0.0617,cartoon,0.1887,device,0.1912,0,1,1,0,1
output,crater/crater_100007.png,crater,100007,minor,surf_whipple,light_direct,cam_macro,bg_space,0.1361,perforation,0.1913,-0.0552,cartoon,0.1873,device,0.1778,0,1,1,0,1
output,crater/crater_100008.png,crater,100008,severe,surf_radiator,light_grazing,cam_inspect,bg_structure,0.2109,melt_splash,0.2503,-0.0394,moon_terrain,0.2214,plain_texture,0.2564,0,1,1,0,1
output,crater/crater_100009.png,crater,100009,minor,surf_radiator,light_glint,cam_macro,bg_space,0.2740,perforation,0.3192,-0.0451,moon_terrain,0.2260,plain_texture,0.2426,0,0,0,0,1
output,crater/crater_100010.png,crater,100010,moderate,surf_antenna,light_grazing,cam_oblique,bg_space,0.2810,crater,0.2810,0.0277,moon_terrain,0.2366,device,0.1751,1,0,0,1,1
output,crater/crater_100011.png,crater,100011,severe,surf_radiator,light_led,cam_oblique,bg_earth,0.2866,crater,0.2866,0.0347,moon_terrain,0.2383,plain_texture,0.1813,1,0,0,1,1
output,crater/crater_100012.png,crater,100012,minor,surf_al_panel,light_glint,cam_macro,bg_stars,0.1858,perforation,0.2213,-0.0355,cartoon,0.1845,device,0.1882,0,0,1,0,1
output,crater/crater_100013.png,crater,100013,moderate,surf_antenna,light_direct,cam_macro,bg_stars,0.2987,crater,0.2987,0.0227,moon_terrain,0.2568,plain_texture,0.2400,1,0,0,1,1
output,crater/crater_100014.png,crater,100014,minor,surf_sensor,light_direct,cam_macro,bg_structure,0.2910,crater,0.2910,0.0221,moon_terrain,0.2595,plain_texture,0.2062,1,0,0,1,1
output,crater/crater_100015.png,crater,100015,moderate,surf_sensor,light_grazing,cam_inspect,bg_space,0.2294,perforation,0.2519,-0.0226,moon_terrain,0.2219,plain_texture,0.2002,0,0,0,0,1
output,crater/crater_100016.png,crater,100016,severe,surf_radiator,light_direct,cam_macro,bg_stars,0.1418,perforation,0.2132,-0.0713,text_logo,0.1953,device,0.2008,0,1,1,0,1
output,crater/crater_100017.png,crater,100017,moderate,surf_al_panel,light_glint,cam_inspect,bg_space,0.1758,perforation,0.2502,-0.0744,person,0.2338,device,0.2202,0,1,1,0,1
output,crater/crater_100018.png,crater,100018,minor,surf_sensor,light_grazing,cam_macro,bg_space,0.1406,perforation,0.2212,-0.0806,person,0.1763,device,0.1974,0,1,1,0,1
output,crater/crater_100019.png,crater,100019,moderate,surf_al_panel,light_glint,cam_oblique,bg_earth,0.2626,crater,0.2626,0.0057,moon_terrain,0.2469,plain_texture,0.2155,1,0,0,1,1
output,crater/crater_100020.png,crater,100020,minor,surf_antenna,light_albedo,cam_inspect,bg_stars,0.2810,crater,0.2810,0.0453,moon_terrain,0.2373,plain_texture,0.1802,1,0,0,1,1
output,crater/crater_100021.png,crater,100021,minor,surf_al_panel,light_direct,cam_survey,bg_structure,0.2402,perforation,0.2847,-0.0446,person,0.1910,device,0.2007,0,0,0,0,1
output,crater/crater_100022.png,crater,100022,minor,surf_sensor,light_grazing,cam_macro,bg_structure,0.2124,perforation,0.2490,-0.0366,person,0.1804,plain_texture,0.1931,0,0,0,0,1
output,crater/crater_100023.png,crater,100023,moderate,surf_radiator,light_grazing,cam_macro,bg_earth,0.1687,melt_splash,0.2296,-0.0608,moon_terrain,0.2400,plain_texture,0.2468,0,1,1,0,1
output,crater/crater_100024.png,crater,100024,moderate,surf_radiator,light_glint,cam_macro,bg_earth,0.1305,nominal,0.1966,-0.0661,moon_terrain,0.1503,plain_texture,0.2149,0,1,1,0,1
output,crater/crater_100025.png,crater,100025,severe,surf_antenna,light_glint,cam_macro,bg_stars,0.1568,petaling,0.2528,-0.0960,flower,0.1921,plain_texture,0.1890,0,1,1,0,1
output,crater/crater_100026.png,crater,100026,severe,surf_whipple,light_grazing,cam_oblique,bg_stars,0.2939,crater,0.2939,0.0549,moon_terrain,0.2460,plain_texture,0.2072,1,0,0,1,1
output,crater/crater_100027.png,crater,100027,severe,surf_sensor,light_led,cam_survey,bg_space,0.2014,nominal,0.2629,-0.0616,person,0.2301,device,0.2086,0,1,1,0,1
output,crater/crater_100028.png,crater,100028,moderate,surf_antenna,light_direct,cam_oblique,bg_stars,0.2721,crater,0.2721,0.0195,moon_terrain,0.2531,plain_texture,0.2053,1,0,0,1,1
output,crater/crater_100029.png,crater,100029,minor,surf_al_panel,light_glint,cam_macro,bg_structure,0.1648,nominal,0.2705,-0.1058,person,0.2125,device,0.2023,0,1,1,0,1
output,crater/crater_100030.png,crater,100030,severe,surf_sensor,light_led,cam_macro,bg_structure,0.2687,crater,0.2687,0.0114,cartoon,0.1841,device,0.1935,1,0,0,1,1
output,crater/crater_100031.png,crater,100031,minor,surf_al_panel,light_led,cam_macro,bg_space,0.1884,perforation,0.2530,-0.0646,text_logo,0.1902,plain_texture,0.1915,0,1,1,0,1
output,crater/crater_100032.png,crater,100032,severe,surf_radiator,light_led,cam_survey,bg_stars,0.2068,spallation,0.2302,-0.0234,person,0.2197,device,0.1786,0,1,0,0,1
output,crater/crater_100033.png,crater,100033,severe,surf_whipple,light_albedo,cam_inspect,bg_earth,0.2495,crater,0.2495,0.0304,moon_terrain,0.2170,device,0.1845,1,0,0,1,1
output,crater/crater_100034.png,crater,100034,moderate,surf_al_panel,light_grazing,cam_survey,bg_structure,0.2603,crater,0.2603,0.0070,moon_terrain,0.2513,plain_texture,0.2000,1,0,0,1,1
output,crater/crater_100035.png,crater,100035,moderate,surf_sensor,light_glint,cam_survey,bg_space,0.1662,nominal,0.2186,-0.0524,person,0.1955,whole_satellite,0.2165,0,1,1,0,1
output,crater/crater_100036.png,crater,100036,moderate,surf_antenna,light_grazing,cam_macro,bg_stars,0.2776,debris_spray,0.3091,-0.0315,moon_terrain,0.2735,plain_texture,0.2761,0,0,0,0,1
output,crater/crater_100037.png,crater,100037,minor,surf_whipple,light_direct,cam_oblique,bg_stars,0.1807,perforation,0.2280,-0.0472,person,0.2024,device,0.2034,0,1,1,0,1
output,crater/crater_100038.png,crater,100038,severe,surf_al_panel,light_glint,cam_oblique,bg_structure,0.2160,perforation,0.2762,-0.0602,person,0.1598,device,0.1826,0,0,0,0,1
output,crater/crater_100039.png,crater,100039,moderate,surf_sensor,light_direct,cam_oblique,bg_space,0.2389,crater,0.2389,0.0114,moon_terrain,0.2482,plain_texture,0.2276,1,1,0,0,1
output,crater/crater_100040.png,crater,100040,moderate,surf_antenna,light_glint,cam_survey,bg_space,0.2030,perforation,0.2323,-0.0294,cartoon,0.1936,whole_satellite,0.1691,0,0,0,0,1
output,crater/crater_100041.png,crater,100041,moderate,surf_whipple,light_glint,cam_survey,bg_space,0.2239,perforation,0.2789,-0.0550,person,0.2164,device,0.1913,0,0,0,0,1
output,crater/crater_100042.png,crater,100042,severe,surf_antenna,light_led,cam_oblique,bg_space,0.1852,nominal,0.2271,-0.0418,moon_terrain,0.2168,device,0.1651,0,1,0,0,1
output,crater/crater_100043.png,crater,100043,minor,surf_antenna,light_albedo,cam_macro,bg_space,0.2538,crater,0.2538,0.0285,moon_terrain,0.2457,plain_texture,0.2147,1,0,0,1,1
output,crater/crater_100044.png,crater,100044,moderate,surf_radiator,light_albedo,cam_survey,bg_space,0.1931,nominal,0.2158,-0.0226,person,0.1871,device,0.1643,0,0,0,0,1
output,crater/crater_100045.png,crater,100045,severe,surf_sensor,light_grazing,cam_inspect,bg_earth,0.2271,crater,0.2271,0.0027,moon_terrain,0.2248,plain_texture,0.1886,1,0,0,1,1
output,crater/crater_100046.png,crater,100046,moderate,surf_sensor,light_led,cam_inspect,bg_earth,0.2396,nominal,0.2527,-0.0131,moon_terrain,0.2192,device,0.1887,0,0,0,0,1
output,crater/crater_100047.png,crater,100047,severe,surf_sensor,light_albedo,cam_inspect,bg_structure,0.2535,perforation,0.2590,-0.0055,moon_terrain,0.2098,device,0.1770,0,0,0,0,1
